title,description,source,date_of_publication,category,author,link
"Alameda County, California Approves Policy-Based Reparation Plan","For years, California has explored a variety of policies aimed at providing reparations for anti-Black racism. Now, one of the state’s counties has moved forward, approving a multifaceted reparations plan for Black residents. While critics warn of budgetary concerns, the county leaders have left open the possibility of expanding their recommendations to include cash payments… Continue reading Alameda County, California Approves Policy-Based Reparation Plan",blavity.com,2026-07-20,Politics,Christopher Rhodes,https://blavity.com/alameda-county-california-approves-policy-based-reparation-plan
FBI Search Warrant In Lorenzo Salgado Araujo’s Fatal ICE Shooting Draws Scrutiny,Federal prosecutors face criticism after a search warrant related to the deadly ICE shooting of 52-year-old Lorenzo Salgado Araujo was made public. The warrant showed the FBI believed plastic baggies found in his van held substances resembling illegal drugs. Details on the initial warrant made public while the investigation was ongoing The warrant was initially… Continue reading FBI Search Warrant In Lorenzo Salgado Araujo’s Fatal ICE Shooting Draws Scrutiny,blavity.com,2026-07-20,News,Jahaura Michelle,https://blavity.com/fbi-search-warrant-in-lorenzo-salgado-araujos-fatal-ice-case-draws-scrutiny
Nolan Wells’ Mother Says Family Received Hate Mail: ‘May The Good Lord Have Mercy On Your Soul’,"Nolan Wells’ mother said she and her husband received hate mail following the death of their son. Christine Wonsley speaks out on social media after receiving hate mail Nearly two weeks after the 18-year-old’s body was found on the northwest end of Mississippi’s Horn Island following his disappearance after a July 4 gathering with friends,… Continue reading Nolan Wells’ Mother Says Family Received Hate Mail: ‘May The Good Lord Have Mercy On Your Soul’",blavity.com,2026-07-20,News,Jahaura Michelle,https://blavity.com/nolan-wells-mother-on-mail-as-arrangements-announced
Jamaica To Petition King Charles For Slavery Reparations From The UK,The international movement for reparations for slavery is taking another step forward as Jamaica steps up its efforts to secure compensation from the United Kingdom for its role in slavery and the transatlantic slave trade. Jamaica’s Minister of Culture Olivia Grange is planning a trip to the UK to personally meet with King Charles over… Continue reading Jamaica To Petition King Charles For Slavery Reparations From The UK,blavity.com,2026-07-20,Politics,Christopher Rhodes,https://blavity.com/jamaica-to-petition-king-charles-for-slavery-reparations-from-the-uk
How Sugar Substitutes Impact Brain And Body Aging,New research reveals how sugar substitutes may impact brain aging and long-term health. Get the facts on Blavity Health.,blavity.com,2026-07-20,Health,"Dr. Diana Rangaves, PharmD",https://blavity.com/sugar-substitute-aging
What Aldon Smith’s CTE Investigation Reveals About Brain Trauma,Medical experts test former NFL player Aldon Smith’s brain for CTE and trauma damage. Discover how chronic concussions affect athletes.,blavity.com,2026-07-17,Conditions &Amp; Care,Joel Randell,https://blavity.com/aldon-smith-cte
How Chris Young Turned A Life Sentence Into A Mission For Criminal Justice Reform,"Chris Young, author of the new book The Wound Is Where the Light Enters: A Memoir of Resilience, has a remarkable story to tell. Sentenced to life in prison at age 22 for nonviolent drug offenses under draconian “three strikes” laws, Young and a dedicated group of advocates fought for his freedom. Released from prison… Continue reading How Chris Young Turned A Life Sentence Into A Mission For Criminal Justice Reform",blavity.com,2026-07-17,News,Christopher Rhodes,https://blavity.com/chris-young-on-book-criminal-justice-reform
Bipartisan Senators Unveil Plan To Rescue Social Security Before Funding Runs Short,"A bipartisan group of senators has introduced legislation to help push Social Security reforms through Congress before the program runs out of money. The PROMISE Act, short for Protecting Retirement Opportunities and Maintaining Income Security for Everyone, would not immediately change Social Security benefits. Instead, it would create a legislative process for Congress to consider… Continue reading Bipartisan Senators Unveil Plan To Rescue Social Security Before Funding Runs Short",blavity.com,2026-07-17,News,Jahaura Michelle,https://blavity.com/bipartisan-senators-unveil-plan-to-rescue-social-security-before-funding-runs-short
What SZA’s Journey Teaches Us About Seeking An Autism Evaluation As An Adult,"Now that SZA's speaking out, discover the signs of high-functioning adult autism and what masking looks like in Black women.",blavity.com,2026-07-16,Conditions &Amp; Care,"Dr. Diana Rangaves, PharmD",https://blavity.com/sza-autism
Republican Lawmakers Demanding Protection For Caitlin Clark In DOJ Letter Sparks Backlash,Republicans are going to bat for WNBA star Caitlin Clark.,blavity.com,2026-07-16,Politics,Tomas Kassahun,https://blavity.com/caitlin-clark-protection-demands-from-republicans-sparks-backlash
Harriet Tubman Museum Burglarized Just Weeks After Recovering From Flood Damage,"The Harriet Tubman Museum and Educational Center in Cambridge, Maryland, which was recently repaired after it was damaged by flood, has now been burglarized.",blavity.com,2026-07-16,News,Tomas Kassahun,https://blavity.com/harriet-tubman-museum-burglarized-weeks-after-recovering
"Democrats Say Trump’s Iran War Isn’t Getting A $1 Trillion Blank Check, Block Defense Bill","Senate Democrats blocked a $1 trillion annual defense bill Tuesday, refusing to advance the legislation in protest of President Donald Trump’s handling of the war with Iran. Why did Democratic senators block the defense bill? The Senate voted 50-46, largely along party lines, failing to reach the 60 votes needed to advance the National Defense… Continue reading Democrats Say Trump’s Iran War Isn’t Getting A $1 Trillion Blank Check, Block Defense Bill",blavity.com,2026-07-16,Politics,Jahaura Michelle,https://blavity.com/democrats-block-trump-defense-bill-iran-war
"Ava DuVernay Sets ’14th’ At Netflix, Exploring The Constitutional Amendment That Continues To Shape America","Nearly a decade after 13th sparked conversations about mass incarceration and the legacy of the 13th Amendment, Ava DuVernay is returning to Netflix with another documentary examining a foundational piece of the U.S. Constitution. Later this year, the award-winning filmmaker will debut 14th, a documentary that shifts its focus to the amendment that established birthright… Continue reading Ava DuVernay Sets ’14th’ At Netflix, Exploring The Constitutional Amendment That Continues To Shape America",blavity.com,2026-07-16,Politics,Trey Mangum,https://blavity.com/ava-duvernay-sets-14th-at-netflix
What Science Actually Says About Gray Hair Treatment,Are there effective gray hair treatments? We dive into the causes of premature graying and look at the treatments that are worth your time.,blavity.com,2026-07-15,Health,Tyler-Christian Daniels,https://blavity.com/gray-hair-treatment
Boosie Asks Top MAGA Figures For Help As He Goes After Lobbyists Over Alleged Trump Pardon Scam,"Rapper Boosie is pursuing legal action against two members of a lobbying firm that he accuses of taking hundreds of thousands of dollars from him and failing to secure a presidential pardon that they told him they would obtain on his behalf. As Boosie seeks the help of a number of right-wing figures, the rapper’s… Continue reading Boosie Asks Top MAGA Figures For Help As He Goes After Lobbyists Over Alleged Trump Pardon Scam",blavity.com,2026-07-15,Politics,Christopher Rhodes,https://blavity.com/boosie-asks-top-maga-figures-for-help-alleged-trump-pardon-scam
What Do Beta-Blockers Actually Do?,"From blood pressure management to heart health, Blavity Health covers everything you need to know about beta blockers.",blavity.com,2026-07-15,Conditions &Amp; Care,"Dr. Diana Rangaves, PharmD",https://blavity.com/what-are-beta-blockers
"Al Sharpton, The King Family And Civil Rights Orgs Announce March On Washington For Voting Rights","A group of civil rights leaders has announced a new March on Washington to fight for voting rights. The event, set to occur on the anniversary of the famous civil rights march, comes in protest of the recent Supreme Court decision to gut a portion of the Voting Rights Act. New March on Washington announced… Continue reading Al Sharpton, The King Family And Civil Rights Orgs Announce March On Washington For Voting Rights",blavity.com,2026-07-15,Politics,Christopher Rhodes,https://blavity.com/al-sharpton-the-king-family-announce-new-march-on-washington
